Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Label
-0.34468963742256165,-0.3526080846786499,-0.3590017259120941,-0.24788717925548553,-0.4604160189628601,-0.35714372992515564,-0.24250856041908264,-0.3207089304924011,-0.43402379751205444,-0.38455697894096375,-0.3108251392841339,-0.2886093854904175,-0.36196497082710266,-0.35614722967147827,-0.6350569725036621,-0.3010181486606598,-0.3119393587112427,-0.29971349239349365,-0.30201804637908936,-0.2260105162858963,-0.3281606435775757,-0.35017484426498413,-0.2878267467021942,-0.38682055473327637,-0.15798981487751007,3.0
-0.30856961011886597,-0.27507343888282776,-0.27920520305633545,-0.26081040501594543,-0.3446841239929199,-0.30448198318481445,-0.25434592366218567,-0.21241432428359985,-0.4017454981803894,-0.2807924151420593,-0.29124632477760315,-0.2602503001689911,-0.29562994837760925,-0.35018840432167053,-0.5784074664115906,-0.25642067193984985,-0.20383067429065704,-0.25419068336486816,-0.23997145891189575,-0.18560728430747986,-0.2767517864704132,-0.3165254294872284,-0.25358450412750244,-0.28930243849754333,-0.20732642710208893,3.0
-0.232951357960701,-0.17677302658557892,-0.230737566947937,-0.23051491379737854,-0.34144333004951477,-0.3096883296966553,-0.14245599508285522,-0.26244014501571655,-0.3176919221878052,-0.2577356994152069,-0.32446473836898804,-0.17878547310829163,-0.1636819988489151,-0.2883872389793396,-0.5033690333366394,-0.11598758399486542,-0.317613422870636,-0.28684982657432556,-0.2701057493686676,-0.2388807237148285,-0.24367722868919373,-0.20044319331645966,-0.2255549281835556,-0.14567063748836517,-0.22351615130901337,1.0
-0.21147684752941132,-0.2255697399377823,-0.25881096720695496,-0.2731354832649231,-0.3548930883407593,-0.2845515012741089,-0.18155239522457123,-0.2503635585308075,-0.4253198802471161,-0.30111026763916016,-0.2509724199771881,-0.2925761938095093,-0.18094003200531006,-0.37332239747047424,-0.5698983669281006,-0.269813597202301,-0.226876363158226,-0.3000999093055725,-0.2891432046890259,-0.1987156718969345,-0.25323450565338135,-0.28066205978393555,-0.226321280002594,-0.3405314087867737,-0.2159396857023239,2.0
-0.3329212963581085,-0.34029901027679443,-0.3278326094150543,-0.2676492929458618,-0.4716635048389435,-0.3156917691230774,-0.2430025041103363,-0.24576155841350555,-0.47493574023246765,-0.43724533915519714,-0.3243487775325775,-0.38345643877983093,-0.201139897108078,-0.38451316952705383,-0.6020060181617737,-0.2605171501636505,-0.34301164746284485,-0.25400540232658386,-0.39861297607421875,-0.2873910963535309,-0.380683034658432,-0.38740989565849304,-0.381089448928833,-0.25662243366241455,-0.2878332734107971,3.0
-0.32726889848709106,-0.3318672180175781,-0.23412372171878815,-0.2640928328037262,-0.44865527749061584,-0.3612598180770874,-0.24991416931152344,-0.29004010558128357,-0.37159112095832825,-0.29403606057167053,-0.2904559075832367,-0.2732235789299011,-0.23754949867725372,-0.3460097312927246,-0.5671260952949524,-0.32010987401008606,-0.2613663077354431,-0.153072327375412,-0.33035221695899963,-0.21928294003009796,-0.3488735854625702,-0.3435608446598053,-0.2640858590602875,-0.261544406414032,-0.13235723972320557,1.0
-0.3084414303302765,-0.2716120779514313,-0.3015320301055908,-0.27990156412124634,-0.34977322816848755,-0.3104138970375061,-0.3151007890701294,-0.22746555507183075,-0.3791062533855438,-0.3439321219921112,-0.30421867966651917,-0.2967734634876251,-0.1792874038219452,-0.3716447353363037,-0.5684508681297302,-0.2139381766319275,-0.33863139152526855,-0.22369639575481415,-0.32477590441703796,-0.22225713729858398,-0.20258845388889313,-0.25183379650115967,-0.2501041889190674,-0.26998022198677063,-0.2379845529794693,0.0
-0.3316633999347687,-0.3504202961921692,-0.39973846077919006,-0.30463606119155884,-0.32393404841423035,-0.3100777268409729,-0.2881488800048828,-0.3763294816017151,-0.402251660823822,-0.3269977867603302,-0.3854150176048279,-0.3038710951805115,-0.23583215475082397,-0.3775377869606018,-0.5464158654212952,-0.3229157328605652,-0.36567389965057373,-0.24933820962905884,-0.3124485909938812,-0.27888399362564087,-0.3603106737136841,-0.2024022489786148,-0.34174424409866333,-0.2006668895483017,-0.2782045602798462,1.0
-0.25967398285865784,-0.35576650500297546,-0.30304715037345886,-0.40103426575660706,-0.43388593196868896,-0.29091566801071167,-0.3147028982639313,-0.25353506207466125,-0.4507526457309723,-0.2831028401851654,-0.26630285382270813,-0.2629384696483612,-0.1669333428144455,-0.33400827646255493,-0.6076511144638062,-0.29365113377571106,-0.22755815088748932,-0.1440264880657196,-0.23884272575378418,-0.22162923216819763,-0.32894134521484375,-0.23760080337524414,-0.29635927081108093,-0.30747535824775696,-0.22600367665290833,3.0
-0.3056996464729309,-0.29502588510513306,-0.3195984959602356,-0.25487807393074036,-0.36221620440483093,-0.28679168224334717,-0.2417221963405609,-0.21568016707897186,-0.4199739694595337,-0.3906049132347107,-0.3220181465148926,-0.25640666484832764,-0.21146877110004425,-0.29493463039398193,-0.5100157856941223,-0.3049597144126892,-0.28718695044517517,-0.20817309617996216,-0.3048191964626312,-0.20291398465633392,-0.3107239902019501,-0.29657527804374695,-0.3539034128189087,-0.33652830123901367,-0.15516924858093262,3.0
