feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,label
-0.18026136192575593,-0.18997520592914188,-0.2016374852377365,-0.17811787386258995,-0.1351090239589128,-0.13369552910712404,-0.07673785513027089,-0.08534524704449077,-0.12385000890625822,-0.18400093491383113,-0.20822027662700365,-0.1757467227368444,-0.18871918355133663,-0.18063372639302253,-0.11623580679052024,-0.18026608978751843,-0.18854539114473598,-0.21747573019572525,-0.18798262041847563,-0.1571574472469168,-0.18620722297459563,-0.20062031534993,-0.19858170770624428,-0.1739814222060168,-0.14902393583670462,1.0
-0.17905829252217625,-0.18377882968229833,-0.1989896202843803,-0.19051612425779565,-0.15079771788095078,-0.12230740122726169,-0.0761507346890962,-0.0864255687790041,-0.14231453945437916,-0.18576954269802617,-0.18135364268505832,-0.1781693917455186,-0.20222714854792934,-0.16675531375681388,-0.11855741675066846,-0.20415848164410783,-0.18320756916767272,-0.19852584195292808,-0.19053358095885906,-0.15612611830346673,-0.175662858265459,-0.18592510043453972,-0.18123209367615006,-0.1856173371502727,-0.14250334964237557,1.0
-0.18216859514473846,-0.20637706739331385,-0.19086859654126306,-0.1831274829679814,-0.1422013266402568,-0.11819855624361617,-0.07540057554908225,-0.10364442833265881,-0.13214841688567797,-0.19135878944777268,-0.19564891685452726,-0.16825019404103697,-0.1870214842159562,-0.17091751121021825,-0.12317550980498221,-0.170172113628028,-0.18640023388159502,-0.1909853721110181,-0.1954905947541999,-0.15229867110803055,-0.19708333032269185,-0.19102180922486206,-0.1950422750624168,-0.19853886113833794,-0.14395535195387246,1.0
-0.19797157429137754,-0.18766354168088856,-0.189962964666409,-0.170568897158112,-0.12665435979687867,-0.13536131909050553,-0.07794883539357558,-0.09650939757939182,-0.1415294441038102,-0.18872098604742163,-0.18085641218159754,-0.18648215493784906,-0.2066583819508149,-0.1593426333811947,-0.13203119886047004,-0.19939459984044905,-0.17561908182530722,-0.19682148543128847,-0.18003888456263709,-0.15119942940542677,-0.19275681990638602,-0.19971973099989165,-0.19509221749155997,-0.16087636957530288,-0.12656019809399477,1.0
-0.18867888167377733,-0.17217806760757107,-0.19135999888039198,-0.20848651322472886,-0.1445297427666292,-0.1252636004182029,-0.09984850425588758,-0.09463161168553814,-0.14300853079656206,-0.17180385849762236,-0.17696534512805895,-0.19049857937274634,-0.19698791689747203,-0.167987097978723,-0.12391197096724064,-0.1865108700635243,-0.2145918564638426,-0.2162266663023561,-0.1797620618485371,-0.1675444909805024,-0.1879557603964684,-0.20188241989410033,-0.2008376912858376,-0.19696360418483386,-0.14957728224144154,1.0
-0.1901829203043334,-0.18812944975054594,-0.20501897141939682,-0.19333811428977482,-0.13736669062318566,-0.12373927535424051,-0.09473357339600053,-0.09527684600435869,-0.13651555510169494,-0.196012881518267,-0.18773441419512713,-0.1870542542895611,-0.18575720144942937,-0.16807334972775453,-0.12494530157622209,-0.17146453427400998,-0.20184189926041698,-0.2202561937432871,-0.18889147689390315,-0.13240838318534714,-0.20168542217456903,-0.18370218861692084,-0.19574867075906824,-0.17589179510540456,-0.1533619476942292,1.0
-0.1874955903644342,-0.19045239054297539,-0.20579653794318303,-0.17844867599765266,-0.14566195471094995,-0.12599544485835154,-0.0852278104209272,-0.10107331271129982,-0.1514054906687543,-0.18012352590482764,-0.17883281275419843,-0.1869488393455035,-0.18514801668754424,-0.16510899445358304,-0.1134932688208025,-0.19696394883687593,-0.19239041925679357,-0.18397440278499166,-0.19549201056590498,-0.16653787948369528,-0.18857899885266724,-0.19112174253806066,-0.20055980217500904,-0.16041705341268922,-0.16642726523152185,1.0
-0.18969446026796585,-0.18988714768050444,-0.1984145993645492,-0.19707120175411752,-0.14996845421656368,-0.11715226663160033,-0.08275427356617397,-0.10180263205311656,-0.13956582013080965,-0.17263997002492287,-0.18167799942088025,-0.19233146175154586,-0.19315329467926637,-0.16598976741685448,-0.1263859704469423,-0.19026540720232551,-0.20546773464659412,-0.2045135158242173,-0.17434682563584086,-0.14494742985935563,-0.17405998262434275,-0.1849105213279107,-0.18974667382145102,-0.1824788544171126,-0.14498230360121608,1.0
-0.18269420018730786,-0.18729273076052214,-0.20650190318327477,-0.16988118163729474,-0.1515256514156408,-0.1077683137026777,-0.08521426602265929,-0.10927870876912447,-0.13339873345395722,-0.20240753462830963,-0.1869361888738637,-0.18971215442846778,-0.1971168852803157,-0.16656776528578557,-0.11609201836492052,-0.18519849108941935,-0.19193062081245343,-0.2273744329213742,-0.19881327530413204,-0.1445008179123389,-0.18480348175838027,-0.1942735092238264,-0.187369491729428,-0.17966156641032135,-0.14147495008127897,1.0
-0.18538706399813124,-0.20172482620279206,-0.21786970979930165,-0.18383181621154543,-0.1335841237568016,-0.1228065704357522,-0.09268260239231645,-0.09151263589464141,-0.13536891807446966,-0.19483458588692965,-0.18147041220819912,-0.18919553989492932,-0.20330811074440766,-0.16660658217689153,-0.12416819008459895,-0.19836790709612054,-0.1922302045039224,-0.19252901433655317,-0.19475324398587357,-0.16493654215987053,-0.18400035056811553,-0.17952840998250089,-0.1891769819043681,-0.17515463580641377,-0.14546011345415014,1.0
-0.18311734389108283,-0.17928066977040438,-0.2039196529553875,-0.16634179809415905,-0.14252143101890793,-0.11881908887836531,-0.09259119324134345,-0.08868927471478838,-0.14371362118411243,-0.1820898726449997,-0.1818793142397395,-0.18859154359232683,-0.18767040363424065,-0.16696550614202366,-0.11461609366915564,-0.17151825569270318,-0.1988953683685195,-0.19460305016823976,-0.17200974332495056,-0.17607569783846863,-0.19080794960065706,-0.17531500883785353,-0.19266590926901497,-0.18936742596998127,-0.1366476854941744,1.0
-0.18304075529953936,-0.18630406104053712,-0.1914874909246892,-0.2042879354441151,-0.13089028784167103,-0.1238775155123198,-0.07395938425000038,-0.10222475933888704,-0.12711315367813203,-0.17921677594530291,-0.18477373050309095,-0.19024702016507317,-0.19277065720519046,-0.15043885755348024,-0.1332169463397257,-0.20286850570203033,-0.2025549291210519,-0.1974594876637181,-0.1872293863271384,-0.14121401928088104,-0.17807646182539952,-0.18667964902807158,-0.1994232466550555,-0.18269715374095988,-0.13903008194585317,1.0
-0.19248802986562263,-0.20360678617214176,-0.19964000329067383,-0.17363381061609237,-0.13195708789533211,-0.131901842588963,-0.09108999601382536,-0.11263364604495403,-0.14269485187521647,-0.18860073444534511,-0.1732140534732843,-0.19080510224893235,-0.19859622121166712,-0.15031962501740126,-0.12500553405058207,-0.18259317099244288,-0.18781085815923737,-0.21138250924900884,-0.18383643896588228,-0.14562678126791664,-0.18244393798636538,-0.19094844088638102,-0.20232603049336415,-0.18689344941465566,-0.13415259453122158,1.0
